Organizace,zkratka,nazev,fullnazev,jobtype,ministerstvo
CS pracovní,CelSpr,Celní správa,Celní správa,,
CS služební,CelSpr,Celní správa,Celní správa,,
CzechInvest,CzechInv,CzechInvest,CzechInvest,,
FS,FinSpr,Finanční správa,Finanční správa (FS),,
MD,MDČR,Ministerstvo dopravy,Ministerstvo dopravy (MDČR),
MF,MFČR,Ministerstvo financí,Ministerstvo financí (MFČR),
MMR,MMR,Ministerstvo pro místní rozvoj,Ministerstvo pro místní rozvoj (MMR),
MO,MOČR,Ministerstvo obrany,Ministerstvo obrany (MOČR),
MPO,MPO,Ministerstvo průmyslu a obchodu,Ministerstvo průmyslu a obchodu (MPO),
MPSV,MPSV,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí (MPSV),
MSp,MSp,Ministerstvo spravedlnosti,Ministerstvo spravedlnosti (MSp),
MV,MVČR,Ministerstvo vnitra,Ministerstvo vnitra (MVČR),
MZV,MZV,Ministerstvo zahraničních věcí,Ministerstvo zahraničních věcí (MZV),
MZd,MZd,Ministerstvo zdravotnictví,Ministerstvo zdravotnictví (MZČR),
MZe,MZe,Ministerstvo zemědělství,Ministerstvo zemědělství (MZe),
MŠMT,MŠMT,"Ministerstvo školství, mládeže a tělovýchovy","Ministerstvo školství, mládeže a tělovýchovy (MŠMT)",
NKÚ,NKÚ,Nejvyšší kontrolní úřad,Nejvyšší kontrolní úřad (NKÚ),
ÚP,ÚP,Úřad práce,Úřad práce (ÚP),
ÚV,ÚV,Úřad vlády,Úřad vlády (ÚV),
ČSSZ,ČSSZ,Česká správa sociálního zabezpečení,Česká správa sociálního zabezpečení (ČSSZ),
ČŠI,ČŠI,Česká školní inspekce,Česká školní inspekce (ČŠI)
MŽP,MŽP,Ministerstvo životního prostředí,Ministerstvo životního prostředí (MŽP)
MK,MK,Ministerstvo kultury,Ministerstvo kultury (MKČR)
